collision_count,executed_path_length,execution_steps,failed_planner_calls,failure_reason,final_goal_distance,maximum_planning_time_s,planner,planner_artificial_obstacles_inserted,planner_backtrack_failed,planner_backtrack_tries,planner_blocked_edges,planner_blocked_steps,planner_changed_cells,planner_changed_edges,planner_collision_checks,planner_expanded_nodes,planner_iterations,planner_map_update_time_s,planner_max_active_virtual_obstacles,planner_nodes,planner_path_cost,planner_path_reuse_ratio,planner_planning_effort,planner_recovery_events,planner_repair_events,planner_samples,planner_search_time_s,planner_selection_changes_due_to_midpoint_checking,planner_state_reused,planner_unique_midpoint_rejections,planner_updated_vertices,planner_virtual_obstacles_created,planning_calls,replans,scenario,seed,sensed_obstacle_ratio,success,total_planning_time_s
0,39.50000000000011,395,0,,0.4806009910522235,0.10151916199993138,r2apf,1,False,0,,0,,,,,,,1,,,0.2,303.0,1,1,,,2,,3,,1,6,6,A,5034,0.5,True,0.33759158099928754
0,37.30000000000003,373,0,,0.4965545445158721,0.07281476400021347,r2apf,0,False,0,,0,,,,,,,0,,,,244.0,0,0,,,3,,6,,0,6,6,A,5035,0.4375,True,0.29847683099887945
0,36.80000000000018,368,0,,0.4892699924474919,0.09451862900004926,r2apf,1,False,0,,0,,,,,,,1,,,0.16666666666666666,466.0,1,1,,,3,,22,,1,11,11,A,5036,0.4625,True,0.7376182300004075
0,44.50000000000017,445,1,,0.44841486414463816,0.11480686899994907,r2apf,3,False,1,,0,,,,,,,3,,,0.25,563.0,3,2,,,1,,8,,3,15,15,A,5037,0.45,True,1.0352516389984885
0,36.80000000000007,368,0,,0.4041397969329355,0.08899849899989931,r2apf,0,False,0,,0,,,,,,,0,,,,344.0,0,0,,,0,,0,,0,7,7,A,5038,0.35,True,0.3204776150005273
0,42.40000000000013,424,1,,0.4066382782700483,0.1250991589995465,r2apf,3,False,1,,0,,,,,,,3,,,0.25,421.0,3,2,,,4,,21,,3,11,11,A,5039,0.4625,True,0.7421040239987633
0,37.600000000000065,376,0,,0.487586940294303,0.08707168899945827,r2apf,0,False,0,,0,,,,,,,0,,,,283.0,0,0,,,1,,6,,0,7,7,A,5040,0.475,True,0.36204305199953524
0,44.01673916955837,441,1,,0.40893554916497016,0.09786440399966523,r2apf,2,False,1,,0,,,,,,,2,,,0.3333333333333333,408.0,2,1,,,3,,8,,2,11,11,A,5041,0.4125,True,0.6460616730000766
0,38.50000000000013,385,0,,0.4514329411246657,0.09332474300026661,r2apf,1,False,0,,0,,,,,,,1,,,0.3333333333333333,271.0,1,1,,,1,,5,,1,6,6,A,5042,0.4375,True,0.3435992980012088
0,38.600000000000136,386,0,,0.4583018841339555,0.11558576199968229,r2apf,1,False,0,,0,,,,,,,1,,,0.14285714285714285,611.0,1,1,,,4,,23,,1,14,14,A,5043,0.475,True,0.8741842150011507
0,36.700000000000124,367,0,,0.44540045874742956,0.09107742400010466,r2apf,0,False,0,,0,,,,,,,0,,,,252.0,0,0,,,1,,2,,0,6,6,A,5044,0.45,True,0.2817983240011017
0,43.60000000000018,436,1,,0.4414618574045401,0.1301123680004821,r2apf,3,False,1,,0,,,,,,,3,,,0.15476190476190477,496.0,3,2,,,3,,12,,3,12,12,A,5045,0.4625,True,0.9244601479995254
0,42.199999999999974,422,1,,0.48003624293705227,0.08871662799992919,r2apf,2,False,1,,0,,,,,,,2,,,0.16666666666666666,267.0,2,1,,,4,,7,,2,8,8,A,5046,0.4,True,0.471233846999894
0,41.60000000000023,416,1,,0.4066565496077976,0.09207618299933529,r2apf,1,False,1,,0,,,,,,,1,,,,392.0,1,0,,,7,,15,,1,10,10,A,5047,0.475,True,0.5591065230000822
