planner,scenario,episodes,successes,success_rate,collision_episodes,collision_episode_rate,planning_calls_total,failed_planner_calls_total,total_planning_time_s_sum,planning_time_per_call_s,collision_count_mean,collision_count_std,collision_count_median,collision_count_p95,collision_count_max,executed_path_length_mean,executed_path_length_std,executed_path_length_median,executed_path_length_p95,executed_path_length_max,execution_steps_mean,execution_steps_std,execution_steps_median,execution_steps_p95,execution_steps_max,final_goal_distance_mean,final_goal_distance_std,final_goal_distance_median,final_goal_distance_p95,final_goal_distance_max,planning_calls_mean,planning_calls_std,planning_calls_median,planning_calls_p95,planning_calls_max,failed_planner_calls_mean,failed_planner_calls_std,failed_planner_calls_median,failed_planner_calls_p95,failed_planner_calls_max,replans_mean,replans_std,replans_median,replans_p95,replans_max,total_planning_time_s_mean,total_planning_time_s_std,total_planning_time_s_median,total_planning_time_s_p95,total_planning_time_s_max,maximum_planning_time_s_mean,maximum_planning_time_s_std,maximum_planning_time_s_median,maximum_planning_time_s_p95,maximum_planning_time_s_max,successful_executed_path_length_mean,successful_executed_path_length_std,successful_executed_path_length_median,successful_executed_path_length_p95,successful_executed_path_length_max,planner_unique_midpoint_rejections_sum,planner_unique_midpoint_rejections_mean,planner_unique_midpoint_rejections_max,planner_selection_changes_due_to_midpoint_checking_sum,planner_selection_changes_due_to_midpoint_checking_mean,planner_selection_changes_due_to_midpoint_checking_max,planner_repair_events_sum,planner_repair_events_mean,planner_repair_events_max,planner_recovery_events_sum,planner_recovery_events_mean,planner_recovery_events_max,planner_artificial_obstacles_inserted_sum,planner_artificial_obstacles_inserted_mean,planner_artificial_obstacles_inserted_max,planner_path_reuse_ratio_observations,planner_path_reuse_ratio_mean,planner_path_reuse_ratio_median
dstar_lite,A,500,500,1.0,1,0.002,4018,1,108.44363484800488,0.02698945615928444,0.002,0.044721359549995794,0.0,0.0,1.0,40.20568432445431,2.1325719309177944,39.917209883919014,43.746943543019924,54.53580212783914,404.296,21.870918090382773,401.0,440.14999999999986,551.0,0.4670105455803423,0.02677555403208038,0.4734015387947576,0.49750387443790384,0.4999086619568756,8.036,2.5106394845223168,8.0,12.0,16.0,0.002,0.044721359549995794,0.0,0.0,1.0,8.036,2.5106394845223168,8.0,12.0,16.0,0.21688726969600974,0.08453569677142923,0.20555547449930595,0.35561094084969225,1.0341990509996322,0.07856980868803655,0.05221855081608085,0.06794353199984465,0.15029487964984553,0.8555239659999643,40.20568432445431,2.1325719309177944,39.917209883919014,43.746943543019924,54.53580212783914,,,,,,,,,,,,,,,,,,
dstar_lite,B,500,500,1.0,1,0.002,4884,0,116.0522363999371,0.023761719164606288,0.002,0.044721359549995794,0.0,0.0,1.0,40.780307265700614,2.281737221941517,40.39525236768503,45.33854277445087,51.021431027706285,410.612,23.30389665267156,406.0,457.04999999999995,515.0,0.4655120924589137,0.028512783361549957,0.472784163269268,0.49677345478471074,0.4999923737039602,9.768,2.8619149383286113,10.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,9.768,2.8619149383286113,10.0,15.0,19.0,0.2321044727998742,0.07827864640089308,0.21675004999906375,0.3923966518011184,0.5769665210009407,0.07464163401200491,0.03816055335724482,0.0640400405000036,0.14278393334943754,0.2766104849997646,40.780307265700614,2.281737221941517,40.39525236768503,45.33854277445087,51.021431027706285,,,,,,,,,,,,,,,,,,
dstar_lite,C,500,500,1.0,3,0.006,5748,0,133.36299576490273,0.023201634614631653,0.006,0.07730428127734981,0.0,0.0,1.0,41.44604012203759,2.576385089035313,40.93841658590917,45.884318714454054,53.60046352114816,417.726,26.51749005009928,413.0,464.0,541.0,0.46714786978604184,0.027156804440431545,0.4729149540759011,0.4971002478483109,0.4999339324651812,11.496,3.175239880165463,11.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,11.496,3.175239880165463,11.0,17.0,22.0,0.2667259915298055,0.08436094876463757,0.25258826349454466,0.4288825586052552,0.5704723980052222,0.0787939502459594,0.03891757528092248,0.07045580699923445,0.1577476217014917,0.2496976160000485,41.44604012203759,2.576385089035313,40.93841658590917,45.884318714454054,53.60046352114816,,,,,,,,,,,,,,,,,,
dstar_lite,D,500,500,1.0,0,0.0,4526,1,114.57607769816241,0.02531508566022148,0.0,0.0,0.0,0.0,0.0,40.54097472317505,2.1980329258656623,40.209091157936285,44.31806875027607,54.61725950857339,407.928,22.59823392109891,405.0,448.0,551.0,0.4652169963488734,0.02708589384084162,0.4710134679166409,0.496630176994505,0.499219949670684,9.052,2.6944045040161515,9.0,14.0,18.0,0.002,0.044721359549995794,0.0,0.0,1.0,9.052,2.6944045040161515,9.0,14.0,18.0,0.2291521553963248,0.08192038854893885,0.2168414725001639,0.3905761817492019,0.9194387630013808,0.07649020862611357,0.047452338027491055,0.06822798800021695,0.13781618774864904,0.83943563199864,40.54097472317505,2.1980329258656623,40.209091157936285,44.31806875027607,54.61725950857339,,,,,,,,,,,,,,,,,,
dstar_lite,E,500,500,1.0,3,0.006,5441,1,123.83580713489937,0.02275975135726877,0.01,0.13392487350558513,0.0,0.0,2.0,41.09357320673643,2.528446925905333,40.65594439952874,45.49591607680481,53.62835255722168,413.994,25.95259212633976,409.0,460.0,543.0,0.46508411433380814,0.028222669106883133,0.47162003291693055,0.4967087179667556,0.499685734818163,10.882,3.0885521379146628,11.0,16.049999999999955,22.0,0.002,0.044721359549995794,0.0,0.0,1.0,10.882,3.0885521379146628,11.0,16.049999999999955,22.0,0.24767161426979875,0.08622225596791729,0.2319808294960239,0.4116129862499292,0.9193809099997452,0.07668137512610698,0.04967508684280666,0.065187287500521,0.15624934495062892,0.7488952710009471,41.09357320673643,2.528446925905333,40.65594439952874,45.49591607680481,53.62835255722168,,,,,,,,,,,,,,,,,,
r2apf,A,500,449,0.898,73,0.146,4349,380,256.9921041420148,0.059092229050819685,0.33,0.9565196598708459,0.0,3.0,7.0,37.78783291652559,6.611496874989602,38.400000000000034,46.12024394719544,51.00000000000033,378.082,65.93616938271234,384.0,462.0,510.0,2.727076039813286,7.002080999935986,0.45283598728208563,23.206812894816633,33.05307815086628,8.698,3.0313650965691012,8.0,14.0,20.0,0.76,1.2318420636345713,0.0,3.0,6.0,8.698,3.0313650965691012,8.0,14.0,20.0,0.5139842082840296,0.25321937917156895,0.47269624149885203,0.9547688177045527,1.459998121003082,0.09950982223996103,0.027023997997738167,0.09435522449984995,0.151611644000377,0.2471085979996132,39.634322696979126,3.154645052224471,38.600000000000136,46.230154890274115,51.00000000000033,4036.0,8.072,26.0,1275.0,2.55,11.0,583.0,1.166,8.0,963.0,1.926,12.0,963.0,1.926,12.0,260.0,0.24269320659499224,0.23821428571428566
r2apf,B,500,425,0.85,79,0.158,5165,466,402.00975799702064,0.0778334478213012,0.382,1.1254373454070528,0.0,3.0,9.0,37.19331288297815,7.2187526433709905,38.30000000000017,45.602510875433964,53.942834000404446,372.198,71.90365127121338,383.0,456.04999999999995,540.0,3.7196806773173594,8.009338495362211,0.45858175644568533,24.476662767752217,31.29112898515761,10.33,3.2567334286444907,10.0,16.0,23.0,0.932,1.3722763149486836,0.0,4.0,6.0,10.33,3.2567334286444907,10.0,16.0,23.0,0.8040195159940413,0.3649038960912297,0.7824893280012475,1.4902506777507367,2.399726672001634,0.13208309948199168,0.02773555023745915,0.12870475850013455,0.17873552609898977,0.2629862379999395,39.798219940175784,3.072794731471466,38.80000000000011,45.780315491897,53.942834000404446,6325.0,12.65,42.0,1863.0,3.726,15.0,617.0,1.234,9.0,1083.0,2.166,12.0,1083.0,2.166,12.0,284.0,0.228151282635689,0.21302910052910046
r2apf,C,500,390,0.78,98,0.196,5967,684,603.6222393183052,0.10116008703172535,0.496,1.2982121203481491,0.0,3.0,10.0,36.66784844009364,9.049636078430735,38.7000000000001,46.725029807816526,58.000000000000455,367.044,90.17401382626305,387.0,468.0999999999999,580.0,5.540310417432016,9.903303181878556,0.4665316075823674,28.75648700523689,32.08068117455158,11.934,3.492569266336792,12.0,19.0,23.0,1.368,1.6067792253318176,1.0,5.0,7.0,11.934,3.492569266336792,12.0,19.0,23.0,1.2072444786366103,0.5478346983018116,1.135481916497156,2.256544875787585,3.1074153699992166,0.17704103154400583,0.03956825225771873,0.17408202450133098,0.24142116509901818,0.3539703419992293,40.88380369322295,3.6583995196566432,39.750000000000114,47.64129189043624,58.000000000000455,9214.0,18.428,55.0,2639.0,5.278,18.0,846.0,1.692,10.0,1530.0,3.06,16.0,1530.0,3.06,16.0,341.0,0.2338411249173537,0.2249999999999999
r2apf,D,500,432,0.864,79,0.158,4908,451,344.40552253791975,0.07017227435572937,0.342,0.977213329720572,0.0,2.0,7.0,37.50087550929691,6.9142899580712465,38.40000000000017,45.47610022194069,53.3893670143045,375.258,68.90156956541088,384.0,457.0,534.0,3.3886495150363176,7.725396324687621,0.4545442895873386,24.707506643867195,32.08068117455158,9.816,3.287515706280059,9.5,16.0,25.0,0.902,1.4521064790341325,0.0,4.0,8.0,9.816,3.287515706280059,9.5,16.0,25.0,0.6888110450758395,0.33418747710320534,0.6441112729971792,1.2827454280455637,2.3418435029925604,0.1186613842299848,0.028301764071859557,0.11519212299936041,0.17015541019954974,0.2625409110005421,39.732915801392934,3.126234797286789,38.700000000000145,45.858674301003845,53.3893670143045,5301.0,10.602,59.0,1624.0,3.248,16.0,599.0,1.198,9.0,1050.0,2.1,16.0,1050.0,2.1,16.0,274.0,0.23891296514058938,0.2333333333333333
r2apf,E,500,428,0.856,98,0.196,5601,492,505.0510160681515,0.09017157937299616,0.386,0.9288323093636631,0.0,2.0,6.0,37.631182374679,7.449153175302091,38.80000000000005,46.23525895128886,56.51662568641259,376.578,74.27986883286516,388.0,463.0,567.0,3.6725654605591234,8.092266032800271,0.45555679487249223,24.84302638033313,32.60377129102351,11.202,3.6856973192950773,11.0,17.049999999999955,30.0,0.984,1.425414892313975,0.0,4.0,9.0,11.202,3.6856973192950773,11.0,17.049999999999955,30.0,1.010102032136303,0.4698494888413151,0.9582577895016584,1.8508238717458871,3.480032873012533,0.15374896258806256,0.03391956879811301,0.15063859949987085,0.20812792525066465,0.3310633010005404,40.205646607991106,3.274939114208048,39.200000000000095,46.56570867511349,56.51662568641259,7940.0,15.88,52.0,2285.0,4.57,16.0,716.0,1.432,12.0,1208.0,2.416,17.0,1208.0,2.416,17.0,308.0,0.23779055574742025,0.23124999999999996
rapf,A,500,389,0.778,120,0.24,5982,659,142.85980472702886,0.023881612291378945,0.694,1.6570623740290666,0.0,4.0,13.0,35.56373022802299,9.41960552407849,37.80000000000012,46.71205143406973,58.65817768677197,356.014,93.84935378793413,378.0,467.14999999999986,588.0,5.805756733453213,10.408275709750399,0.4629002230410141,29.640355078332608,35.0463710843148,11.964,5.757168921264682,11.0,23.0,36.0,1.318,1.7025490732115145,0.0,5.0,7.0,11.964,5.757168921264682,11.0,23.0,36.0,0.2857196094540577,0.1961253215158917,0.24257827049586922,0.671849872446546,1.2326183860059243,0.03765762353198984,0.011033227393783469,0.0373197635008182,0.05529103705002845,0.113250763999531,39.86774958859433,3.7231191999559354,38.60000000000012,47.60102956141716,58.65817768677197,,,,,,,,,,1317.0,2.634,14.0,1317.0,2.634,14.0,,,
rapf,B,500,406,0.812,154,0.308,7844,705,258.07652396402045,0.03290113768026778,2.65,35.8801654475713,0.0,6.0,802.0,37.20955297995958,9.01376487526384,38.50000000000009,48.16720734089215,57.17950910867688,374.07,93.82684078718736,385.0,482.04999999999995,1000.0,4.8940714193920165,9.582538516064513,0.46018768908966895,28.948578935629918,35.29060730883051,15.688,7.487240716518616,14.0,31.0,44.0,1.41,1.6021966384112383,1.0,5.0,7.0,15.688,7.487240716518616,14.0,31.0,44.0,0.516153047928041,0.32362272715403295,0.4536218849998477,1.1643353935443872,1.7485356890083494,0.052282793479986094,0.011938019932639498,0.052724257499903546,0.06942366030043551,0.0819966130002285,40.894447637445246,3.9961735826023825,39.95000000000009,48.222965363105416,57.17950910867688,,,,,,,,,,1410.0,2.82,14.0,1410.0,2.82,14.0,,,
rapf,C,500,350,0.7,203,0.406,9530,908,412.29393075315966,0.043262741946816334,4.86,50.86553849132067,0.0,8.0,834.0,35.26717492992866,11.214996922623918,38.20000000000013,48.21600452184944,70.21650928595162,356.372,118.66082081628117,383.0,487.0,1000.0,7.780230277826443,11.614694103586977,0.4720236341148749,30.7723169966504,35.70394047551239,19.06,9.258933832327717,17.0,38.0,60.0,1.816,1.8023987579237648,1.0,5.0,10.0,19.06,9.258933832327717,17.0,38.0,60.0,0.8245878615063194,0.5600051681694731,0.7217945884967776,1.9365539415013686,3.3388062700068986,0.06703112270396373,0.017083130127533507,0.0688602749996789,0.09036946040159814,0.1197032679992844,41.55178841757091,4.852457848021973,40.024456228314016,50.50224320290701,70.21650928595162,,,,,,,,,,1803.0,3.606,20.0,1803.0,3.606,20.0,,,
rapf,D,500,404,0.808,141,0.282,7027,652,204.20749024498582,0.02906040845951129,0.838,1.7578213423847964,0.0,4.0,12.0,36.56867389517238,9.184221044752348,38.20000000000006,47.52457216695633,55.35374204844097,366.026,91.5421063690199,382.0,476.0999999999999,554.0,5.138871982651461,9.995566359437712,0.4604687520128633,30.227858086434487,35.24798433962484,14.054,6.467669247184952,13.0,26.0,45.0,1.304,1.6002204256981734,1.0,4.0499999999999545,7.0,14.054,6.467669247184952,13.0,26.0,45.0,0.40841498048997166,0.2671280000482729,0.34480125700065395,0.8857121748538698,2.137320412999543,0.0455192108120827,0.01088446542738387,0.04525592350000805,0.061837451251085425,0.0874067519980599,40.386994232905764,3.8143009208103567,39.000000000000036,48.0994334117129,55.35374204844097,,,,,,,,,,1299.0,2.598,14.0,1299.0,2.598,14.0,,,
rapf,E,500,378,0.756,185,0.37,8738,815,327.3745111260869,0.03746561125269934,4.444,49.07569369273191,0.0,7.0,778.0,36.16516335878398,10.120812056994883,38.25000000000011,48.25463484177139,65.7224304453404,365.154,108.34454006882603,383.0,487.1999999999998,1000.0,6.393636474286805,10.81571844747241,0.466622155038634,30.140467809026347,35.51995519980581,17.476,8.05575660188773,16.0,33.0,48.0,1.63,1.7842272651957025,1.0,5.0,9.0,17.476,8.05575660188773,16.0,33.0,48.0,0.6547490222521738,0.40690310263414387,0.5900221534993761,1.3859149471585617,2.4406456430006074,0.05936867706401968,0.013733023763600617,0.059784714499983196,0.08245241434924534,0.0972026150011515,41.0900256338521,4.4680961636806895,39.750000000000114,49.69218446473938,65.7224304453404,,,,,,,,,,1626.0,3.252,18.0,1626.0,3.252,18.0,,,
rrt_star,A,500,500,1.0,83,0.166,4330,4,424.55218983999475,0.09804900458198493,0.468,1.3448394649075204,0.0,3.0499999999999545,12.0,43.18150141788706,5.2643050595933065,41.70000000000016,52.60500000000035,84.39999999999955,431.816,52.64432537309198,417.0,526.05,844.0,0.4478974255327355,0.029293800725960533,0.4452053617124485,0.49515617255892785,0.4992818594881818,8.66,2.778459947409485,8.0,14.0,19.0,0.008,0.08917344788453134,0.0,0.0,1.0,8.66,2.778459947409485,8.0,14.0,19.0,0.8491043796799895,0.45356201939672336,0.7855606189996251,1.6832416789496165,3.592525954998564,0.17572785603601732,0.07184028136026246,0.15917558600085605,0.31323182634919244,0.5679299019993778,43.18150141788706,5.2643050595933065,41.70000000000016,52.60500000000035,84.39999999999955,,,,,,,,,,,,,,,,,,
rrt_star,B,500,500,1.0,118,0.236,5339,7,701.0745897709912,0.13131196661752972,0.494,1.0565019606160564,0.0,3.0,7.0,44.03680000000018,6.009105128794025,42.5000000000001,55.600000000000335,76.49999999999989,440.368,60.091051287939536,425.0,556.0,765.0,0.45114981339103977,0.02763152634837234,0.4512082910826068,0.49448874294155626,0.4996756629528613,10.678,3.397263427759936,11.0,17.0,22.0,0.014,0.11760809209681664,0.0,0.0,1.0,10.678,3.397263427759936,11.0,17.0,22.0,1.4021491795419825,0.7743408879747613,1.226795572501942,2.7992861701509346,4.960581805995389,0.25094277871599113,0.10839642823894265,0.223944353000661,0.4811392945509396,0.7370037479995517,44.03680000000018,6.009105128794025,42.5000000000001,55.600000000000335,76.49999999999989,,,,,,,,,,,,,,,,,,
rrt_star,C,500,500,1.0,156,0.312,6317,10,1069.4925345280299,0.16930386805889344,0.716,1.314076708259598,0.0,3.0,10.0,45.219454339053904,7.008546614681248,43.10000000000008,57.905000000000456,89.29999999999934,452.198,70.08522435825324,431.0,579.05,893.0,0.45196651771366975,0.027709742887996974,0.4524945531442913,0.49357843865753037,0.4999759333545613,12.634,3.6086130543953736,12.0,19.0,25.0,0.02,0.14014021035061358,0.0,0.0,1.0,12.634,3.6086130543953736,12.0,19.0,25.0,2.13898506905606,1.0335870797610212,1.9321346540000377,4.111432242503633,6.913437720024376,0.3422001706259798,0.14239782235544163,0.3074369645000843,0.6108290986003332,1.3048977829967043,45.219454339053904,7.008546614681248,43.10000000000008,57.905000000000456,89.29999999999934,,,,,,,,,,,,,,,,,,
rrt_star,D,500,500,1.0,96,0.192,4896,3,560.4886352471003,0.11447888791811689,0.436,1.0526729028909987,0.0,3.0,6.0,43.29900000000017,5.076487017700571,42.00000000000019,52.40500000000037,74.29999999999991,432.99,50.764870177005044,420.0,524.05,743.0,0.45257094195065667,0.028050305655028397,0.45285032302373635,0.49589168724868293,0.4999363265372681,9.792,3.233209440567243,9.0,16.0,21.0,0.006,0.07730428127734981,0.0,0.0,1.0,9.792,3.233209440567243,9.0,16.0,21.0,1.1209772704942007,0.5807772873628898,1.0067988634982612,2.1336601734454232,4.6514292650063,0.2110503626900172,0.08440103183211284,0.1930407704967365,0.36068934500035504,0.8378685870011395,43.29900000000017,5.076487017700571,42.00000000000019,52.40500000000037,74.29999999999991,,,,,,,,,,,,,,,,,,
